[30/06/2026 10:46:29,70] Iniciando frontend.
[30/06/2026 10:46:32,32] Frontend iniciado com PID 21940.
[30/06/2026 10:47:54,26] Backend: PID file obsoleto removido.
[30/06/2026 10:48:04,54] Encerramento solicitado.
[30/06/2026 10:48:07,84] Frontend: PID 21940  encerrado.
[30/06/2026 10:48:11,45] Frontend porta 3500: PID 21940 encerrado.
[30/06/2026 10:48:11,95] Frontend encerrado.
[30/06/2026 10:48:15,82] Backend porta 8000: PID 33876 encerrado.
[30/06/2026 10:48:15,96] Backend encerrado.
[30/06/2026 10:49:37,34] Frontend ja estava parado.
[30/06/2026 10:49:37,40] Backend ja estava parado.
[30/06/2026 10:49:37,41] Iniciando backend.
[30/06/2026 10:49:40,03] Backend iniciado com PID 13848.
[30/06/2026 10:49:40,05] Iniciando frontend.
[30/06/2026 10:49:41,79] Frontend iniciado com PID 45484.
[30/06/2026 14:52:14,78] Encerramento solicitado.
[30/06/2026 14:52:18,41] Frontend: PID 45484  encerrado.
[30/06/2026 14:52:20,58] Frontend porta 3500: PID 45484 encerrado.
[30/06/2026 14:52:20,65] Frontend encerrado.
[30/06/2026 14:52:23,41] Backend: PID 13848  encerrado.
[30/06/2026 14:52:25,56] Backend porta 8000: PID 13848 encerrado.
[30/06/2026 14:52:25,64] Backend encerrado.
[30/06/2026 14:52:41,74] Frontend ja estava parado.
[30/06/2026 14:52:41,81] Backend ja estava parado.
[30/06/2026 14:52:41,82] Iniciando backend.
[30/06/2026 14:52:45,49] Backend iniciado com PID 36376.
[30/06/2026 14:52:45,49] Iniciando frontend.
[30/06/2026 14:52:47,18] Frontend iniciado com PID 22120.
[30/06/2026 15:17:04,15] Script iniciado. Acao=
[30/06/2026 15:19:39] Script iniciado. Acao=status
[30/06/2026 15:21:07] Script iniciado. Acao=
[30/06/2026 15:21:21] Script iniciado. Acao=
[30/06/2026 15:21:24] Menu fechado pelo usuario.
[30/06/2026 17:08:04] Script iniciado. Acao=
[30/06/2026 17:08:12] Script iniciado. Acao=
[30/06/2026 17:08:14] Encerramento solicitado.
[30/06/2026 17:08:17] Frontend: PID 22120  encerrado.
[30/06/2026 17:08:21] Script iniciado. Acao=
[30/06/2026 17:08:30] Script iniciado. Acao=
[30/06/2026 17:08:58] Script iniciado. Acao=status
[30/06/2026 17:09:47] Script iniciado. Acao=status
[30/06/2026 17:09:47] Frontend: PID file obsoleto removido.
[30/06/2026 17:10:36] Script iniciado. Acao=
[30/06/2026 17:10:47] Script iniciado. Acao=
[30/06/2026 17:11:27] Script iniciado. Acao=
[30/06/2026 17:12:45] Script iniciado. Acao=
[30/06/2026 17:12:57] Encerramento solicitado.
[30/06/2026 17:12:58] Frontend ja estava parado.
[30/06/2026 17:13:01] Script iniciado. Acao=
[30/06/2026 17:13:02] Encerramento solicitado.
[30/06/2026 17:13:03] Frontend ja estava parado.
[30/06/2026 17:13:08] Script iniciado. Acao=
